dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy
BreastCancer,leaky_relu,1,32,156,0.035046122285236556,0.11918413425327554,0.06732960014406827,0.9736842105263158
BreastCancer,leaky_relu,4,32,75,0.016379376497105524,0.1246104904286993,0.08727797509754696,0.9649122807017544
BreastCancer,leaky_relu,15,32,45,0.002230136644350537,0.11157079180754356,0.1361654798047505,0.9473684210526315
BreastCancer,relu,1,32,147,0.03776117858019511,0.1255746517831452,0.06045975418033896,0.9736842105263158
BreastCancer,relu,4,32,54,0.02897390883186913,0.1350274730559883,0.10791259377923215,0.956140350877193
BreastCancer,relu,15,32,34,0.015661561507260738,0.18827204908090825,0.1241907903494136,0.9473684210526315
BreastCancer,sigmoid,1,32,289,0.06308207427532589,0.13594365543609618,0.0606416668897968,0.9824561403508771
BreastCancer,sigmoid,4,32,300,0.571534183536839,0.5928818963517708,0.5732596073182877,0.6228070175438597
BreastCancer,sigmoid,15,32,21,0.6564688766101034,0.6711915263383539,0.6633062647689695,0.6228070175438597
Iris,leaky_relu,1,32,300,0.1853132910169022,0.31090898897932634,0.1509484271435711,0.9333333333333333
Iris,leaky_relu,4,32,146,0.09558303968189023,0.25162348792349415,0.09366827470294675,1.0
Iris,leaky_relu,15,32,98,0.0629956540257046,0.16648236591279444,0.13805546782482586,1.0
Iris,relu,1,32,300,0.19595010826003623,0.2685489478620002,0.17772684270088263,1.0
Iris,relu,4,32,129,0.10205547862810325,0.36990058313065965,0.10667560555083294,0.9333333333333333
Iris,relu,15,32,59,0.0588321714203014,0.2400687871793125,0.11610519970723616,0.9666666666666667
Iris,sigmoid,1,32,300,0.3957134097183019,0.453882479921693,0.3700817644964841,0.9333333333333333
Iris,sigmoid,4,32,21,1.098975627695536,1.0833228536200217,1.118197415664511,0.3333333333333333
Iris,sigmoid,15,32,117,1.0973098134016095,1.1151714801305188,1.0957792978262488,0.36666666666666664
