dataset,activation,hidden_layers,units_per_layer,epochs_run,final_train_loss,best_val_loss,final_test_loss,test_accuracy,run
Iris,sigmoid,1,32,300,0.40285788092484315,0.44575250088286716,0.3504697806337284,0.9333333333333333,0
Iris,sigmoid,1,32,300,0.3747809697014852,0.46655771991369904,0.36272130218231646,0.9666666666666667,1
Iris,sigmoid,1,32,300,0.39787814850054454,0.4249418130775046,0.34772530560319304,0.9333333333333333,2
Iris,sigmoid,1,32,300,0.39212889511203114,0.44208964773543746,0.3505507736253393,0.9333333333333333,3
Iris,sigmoid,1,32,300,0.39599066116337384,0.4397538882479897,0.3527343436162135,0.9333333333333333,4
Iris,sigmoid,1,32,300,0.3792775407751558,0.4315109702165116,0.34456122651367604,0.9666666666666667,5
Iris,sigmoid,1,32,300,0.3502505217359706,0.4310545225583378,0.3395257383360242,0.9666666666666667,6
Iris,sigmoid,1,32,300,0.36362546439405463,0.4243071966726102,0.3391465321126424,0.9666666666666667,7
Iris,sigmoid,1,32,300,0.37200983108426994,0.4225507690479497,0.3364703692949908,0.9333333333333333,8
Iris,sigmoid,1,32,300,0.3732471162972022,0.4164836967897603,0.32946453212241883,0.9333333333333333,9
Iris,sigmoid,1,32,300,0.3719215209218631,0.4157941255350052,0.33409245836680357,0.9333333333333333,10
Iris,sigmoid,1,32,300,0.3481476690095305,0.3972238061842626,0.3203441843157725,0.9666666666666667,11
Iris,sigmoid,1,32,300,0.36602070764331146,0.4109242015645413,0.32558107325153784,0.9333333333333333,12
Iris,sigmoid,1,32,300,0.3669849308864152,0.416814580086644,0.34386400612474505,0.9333333333333333,13
Iris,sigmoid,1,32,300,0.3661389690103662,0.4233672803811084,0.32372187173798367,0.9333333333333333,14
Iris,sigmoid,1,32,300,0.37370282891701145,0.4718514398613669,0.3467218564966286,0.9666666666666667,15
Iris,sigmoid,1,32,300,0.385581039666665,0.44054795186195816,0.35796496953614565,0.9333333333333333,16
Iris,sigmoid,1,32,300,0.3579473792513845,0.4228233929121897,0.33679894416836004,0.9333333333333333,17
Iris,sigmoid,1,32,300,0.35634053730285337,0.4353581171509668,0.3334618274514386,0.9333333333333333,18
Iris,sigmoid,1,32,300,0.4025902502646241,0.42655595920606687,0.35278799620544193,0.9333333333333333,19
Iris,sigmoid,1,32,300,0.3520827104136724,0.43546840718035124,0.32213323265710836,0.9666666666666667,20
Iris,sigmoid,1,32,300,0.3520628811633088,0.4135096059959486,0.31175263267358744,0.9666666666666667,21
Iris,sigmoid,1,32,300,0.41437302979978324,0.43997531086748004,0.37397280217686135,0.9333333333333333,22
Iris,sigmoid,1,32,300,0.3449149542367554,0.40788836591071975,0.319991811202427,0.9666666666666667,23
